timestamp,outputApparentPower,outputPower,loadPercentage,batteryVoltage,batteryChargingCurrent,batteryCapacity,heatSinkTemperature,pv1InputCurrent,pv1InputVoltage,batteryDischargeCurrent,pv1InputPower,pv2InputCurrent,pv2InputVoltage,pv2InputPower,inputPower,batteryCurrent
1714729260802,528.0,417.0,6,49.3,0,51,47.0,1.2,92.2,0.0,118.0,0.9,99.6,93.0,211.0,-2.0
1714729289506,276.0,132.0,3,49.5,1,53,46.0,1.1,94.6,0.0,112.0,1.0,91.5,99.0,211.0,1.0
1714729299506,505.0,402.0,6,49.4,0,52,46.0,1.1,96.6,0.0,114.0,1.0,98.0,106.0,220.0,-2.0
1714729309510,253.0,105.0,3,49.6,3,54,46.0,1.3,91.6,0.0,122.0,0.9,104.0,98.0,220.0,3.0
1714729319501,505.0,404.0,6,49.4,0,52,46.0,1.2,96.1,0.0,117.0,1.0,99.0,105.0,222.0,-2.0
1714729329505,505.0,411.0,6,49.4,0,52,46.0,1.1,98.0,0.0,115.0,1.0,101.5,105.0,220.0,-2.0
1714729339502,251.0,102.0,3,49.7,6,55,46.0,1.2,95.3,0.0,123.0,0.9,101.1,95.0,218.0,6.0
1714729349505,459.0,334.0,5,49.5,0,53,46.0,1.3,93.3,0.0,122.0,0.9,104.3,99.0,221.0,0.0
1714729359505,401.0,294.0,5,49.7,2,55,46.0,1.2,96.5,0.0,122.0,1.0,98.3,107.0,229.0,2.0
1714729369506,230.0,57.0,2,49.9,4,57,46.0,1.1,97.4,0.0,116.0,0.9,99.6,94.0,210.0,4.0
1714729379501,230.0,60.0,2,49.9,4,57,46.0,1.2,96.5,0.0,122.0,1.0,96.1,105.0,227.0,4.0
1714729389502,230.0,61.0,2,50.0,4,58,46.0,1.2,97.8,0.0,123.0,1.0,102.7,104.0,227.0,4.0
1714729399501,229.0,52.0,2,50.0,4,58,46.0,1.4,93.5,0.0,131.0,0.9,102.4,98.0,229.0,4.0
1714729409501,230.0,38.0,2,50.1,4,59,46.0,1.3,93.3,0.0,127.0,1.1,93.5,105.0,232.0,4.0
1714729419505,252.0,108.0,3,50.1,5,59,46.0,1.2,98.6,0.0,120.0,1.1,98.0,110.0,230.0,5.0
1714729429501,275.0,121.0,3,50.0,2,58,46.0,1.3,93.4,0.0,127.0,1.1,93.4,103.0,230.0,2.0
1714729439505,276.0,112.0,3,50.0,2,58,46.0,1.2,98.3,0.0,119.0,0.9,98.1,97.0,216.0,2.0
1714729449505,253.0,89.0,3,50.0,2,58,46.0,1.2,99.4,0.0,124.0,1.1,97.8,109.0,233.0,2.0
1714729459513,276.0,124.0,3,50.0,2,58,46.0,1.2,98.0,0.0,119.0,1.0,98.3,100.0,219.0,2.0
1714729469501,253.0,96.0,3,50.0,2,58,46.0,1.3,92.2,0.0,120.0,1.1,91.6,104.0,224.0,2.0
1714729479501,253.0,103.0,3,50.1,2,59,46.0,1.2,97.2,0.0,119.0,1.0,98.6,104.0,223.0,2.0
1714729489501,252.0,106.0,3,50.1,3,59,46.0,1.2,99.0,0.0,122.0,1.0,99.6,104.0,226.0,3.0
1714729499501,275.0,122.0,3,50.1,2,59,46.0,1.3,95.2,0.0,125.0,0.9,99.6,99.0,224.0,2.0
